Store Name,Lat,Lng,Address,Place ID,County
Giant Eagle Supermarket,41.5213889,-81.45277779999998,"6259 Mayfield Rd, Mayfield Heights",ChIJZXn7nN8DMYgRjhm5cixlb7I,Cuyahoga County
Giant Eagle Supermarket,41.684583,-81.3408287,"8383 Tyler Blvd, Mentor",ChIJCQp6CuqoMYgRhdLNgEHYxSg,Lake County
Giant Eagle Supermarket,41.464609,-81.092427,"15400 W High St, Middlefield",ChIJLeP-Rs9zMYgRk5OYDBhOyl4,Geauga County
Giant Eagle Supermarket,41.583533,-81.218232,"351 Center St, Chardon",ChIJV09pEngKMYgRWSoRaM7Epy0,Geauga County
Giant Eagle Supermarket,41.309497,-81.442126,"8960 Darrow Rd, Twinsburg",ChIJQa5mXTofMYgRa_kBu8SoHMU,Summit County
Giant Eagle Supermarket,41.6361596,-81.47470940000002,"30320 Lakeshore Blvd, Willowick",ChIJl4KBNPmqMYgRg4Zp22aJBWg,Lake County
Giant Eagle Supermarket,41.1590731,-81.227761,"909 E Main St, Ravenna",ChIJpTnr5RI5MYgRrKljhBnuKVQ,Portage County
Giant Eagle Supermarket,41.1010628,-80.75712229999998,"5220 Mahoning Ave, Youngstown",ChIJQzEKIwXjM4gRcXzQfLSdAgQ,Mahoning County
Giant Eagle Supermarket,40.8367519,-81.260779,"108 W Main St, Louisville",ChIJ8eu5UdDONogRSRQgwlO5DEw,Stark County
Giant Eagle Supermarket,41.027016,-80.632421,"1201 Doral Dr, Youngstown",ChIJm-3b7YL6M4gRHFxdj0BeIF4,Mahoning County
Giant Eagle Supermarket,41.235627,-80.55765,"7229 Warren - Sharon Rd, Brookfield Township",ChIJcyE1Bz3CM4gRoZl46oWS4Vk,Trumbull County
Giant Eagle Supermarket,41.25519999999999,-80.793396,"2061 Elm Rd NE, Warren",ChIJpboB65TfM4gRqI0iCJJjMog,Ashtabula County
Giant Eagle Supermarket,40.899754,-80.826774,"2401 E State St, Salem",ChIJz_Cl_buqNogRpEWbACgO2-A,Columbiana County
Giant Eagle Supermarket,41.023352,-80.74694000000002,"525 E Main St, Canfield",ChIJ615iO1z8M4gRvZn-iRRIncA,Mahoning County
Giant Eagle Supermarket,41.1842135,-80.75960090000002,"48 Vienna Ave, Niles",ChIJZaWrGwThM4gREplnuQcF3sc,Trumbull County
Giant Eagle Supermarket,41.026204,-80.67888599999998,"476 Boardman-Canfield Rd, Youngstown",ChIJG5iz1gH7M4gRKm6t1YZpSxQ,Mahoning County
Giant Eagle Supermarket,41.1663211,-80.6665962,"4700 Belmont Ave, Youngstown",ChIJaaiaPkPmM4gRyX57x-38ZUA,Trumbull County
Giant Eagle Supermarket,40.9007509,-81.13130670000002,"1800 W State St, Alliance",ChIJT7boRAi1NogRz3phPLPE6E4,Stark County
Giant Eagle Supermarket,41.237182,-80.7435392,"8202 E Market St, Warren",ChIJTQcMqiLeM4gR5nFxF75MLRU,Trumbull County
Giant Eagle Supermarket,41.0243835,-80.59281159999998,"3130 Center Rd, Poland",ChIJH3bj1lPwM4gRU7vR9Z2r-aE,Mahoning County
Giant Eagle Deli,40.836867,-81.2609241,Louisville,ChIJSZsXV9DONogR4H6yuYVO-qc,Stark County
ALDI,41.1069072,-81.467413,"1620 Brittain Rd, Akron",ChIJU-NVcosoMYgRgjs4AYABLAQ,Summit County
ALDI,41.0652875,-81.5273946,"772 S Main St, Akron",ChIJ7dmpXhfWMIgRn927hOQnyOI,Summit County
ALDI,41.036091600000006,-81.49050679999998,"1333 S Arlington St, Akron",ChIJn5C12zwqMYgRiFiP8lH-6gY,Summit County
ALDI,41.1591497,-81.40165200000001,"3804 Fishcreek Rd, Stow",ChIJ78LFu7QlMYgRBrmOuFSs-ZI,Summit County
ALDI,41.0562721,-81.58261069999998,"2100 Romig Rd, Akron",ChIJr3nN0aHWMIgRoDPxj1OlG14,Summit County
ALDI,41.1326032,-81.63769740000002,"120 S Cleveland Massillon Rd, Fairlawn",ChIJv2VMXoPQMIgRzsKcr6L9Ka0,Summit County
ALDI,40.951172,-81.46471729999998,"4055 Massillon Rd, Uniontown",ChIJrYX1wXXVNogRHaTdJ1Ajp3s,Summit County
ALDI,41.23738270000001,-81.33867099999998,"9071 OH-14, Streetsboro",ChIJl03NASs9MYgRSxuYB_g5Y_c,Portage County
ALDI,40.9686833,-81.35351969999998,"1250 W Maple St, Hartville",ChIJx3VR_1otMYgR50WOu_yOpg4,Lake County
ALDI,41.0480346,-81.7275543,"174 Park Center Dr, Wadsworth",ChIJBf3q1MjNMIgRrDDP8-K8Czo,Medina County
ALDI,41.1566858,-81.22099039999998,"1350 E Main St, Ravenna",ChIJd8gFt3o5MYgRMZ2NGSV07UQ,Portage County
ALDI,41.3149541,-81.5252616,"371 E Aurora Rd, Macedonia",ChIJRx33vSTgMIgRb7ghL8vkpWk,Summit County
ALDI,41.13528609999999,-81.8101564,"3444 Medina Rd, Medina",ChIJfXdB8ZHIMIgRKJLpVCJOR_c,Medina County
ALDI,41.3560724,-81.3882151,"7050 Aurora Rd, Aurora",ChIJ_d6NDYMZMYgRpy8tF9HdAdM,Geauga County
ALDI,40.85401160000001,-81.4248166,"4082 Belden Village St NW, Canton",ChIJEYhZnzPRNogRYAhkshxp6HQ,Stark County
ALDI,41.1579519,-81.860984,"1180 N Court St, Medina",ChIJTcHSnJ7HMIgRtW4qRbOpfAc,Medina County
ALDI,41.3673972,-81.68363599999998,"7305 Broadview Rd, Seven Hills",ChIJ56fVpBvmMIgRUzYOdNDAve4,Cuyahoga County
ALDI,41.23892070000001,-81.83765939999998,"4221 Center Rd, Brunswick",ChIJH_r83s7AMIgRmUGF0aS0ocs,Medina County
ALDI,40.7944304,-81.4467118,"5117 W Tuscarawas St W, Canton",ChIJz7uZg-jZNogRhSEnnUxnA2E,Columbiana County
ALDI,41.4306288,-81.52670719999998,"4650 Northfield Rd, North Randall",ChIJs-o136LiMIgRf7AhV69l3j0,Cuyahoga County
ALDI,41.46978780000001,-81.6083969,"10815 Kinsman Rd, Cleveland",ChIJd0reqF77MIgRK16DpVyZ7CM,Cuyahoga County
ALDI,41.5188465,-81.4944436,"5144 Mayfield Rd, Lyndhurst",ChIJV9-KJCICMYgRtJmvjXXy_VI,Cuyahoga County
ALDI,41.5036341,-81.63653029999998,"7500 Euclid Ave, Cleveland",ChIJSS--f6X7MIgR3k7MV9cFOas,Cuyahoga County
ALDI,41.584622,-81.2117422,"302 Center St, Chardon",ChIJw3CV6YGgMYgRY4Vhes0_Cjo,Geauga County
ALDI,41.641171,-81.47092780000001,"30960 Lakeshore Blvd, Willowick",ChIJx97QX1WqMYgRRATQqGUN_iI,Lake County
ALDI,41.4618443,-81.0843276,"14955 S, Springdale Ave, Middlefield",ChIJ_TI9QkFzMYgRRnf-drdWgO4,Geauga County
ALDI,41.5228571,-81.4374651,"1385 Som Center Rd, Mayfield Heights",ChIJFf7FRmEBMYgRzVWUbl0Conc,Cuyahoga County
ALDI,41.6621564,-81.3590263,"7885 Mentor Ave, Mentor",ChIJSXe0TrioMYgRxs8rJLQPn5w,Lake County
ALDI,41.275434,-80.775151,"2120 Elm Cir, Cortland",ChIJ5w60CgbfM4gRbiJHCXsvKlU,Trumbull County
ALDI,41.2097602,-80.73907259999999,"2425 Niles Cortland Rd SE, Warren",ChIJg53HPb_gM4gRp9Ia7PrVOJg,Trumbull County
ALDI,41.6088615,-81.52597370000002,"22300 Lakeshore Blvd, Euclid",ChIJI6Qff1dVMIgROmFuIK2Ll_M,Cuyahoga County
