,Unnamed: 0,Name,Lat,Lng,Address,Distance
86,86,Giant Eagle Supermarket,41.0243835,-80.59281159999999,"3130 Center Rd, Poland",48.13
87,87,Giant Eagle Supermarket,41.235627,-80.55765,"7229 Warren - Sharon Rd, Brookfield Township",37.52
88,88,Giant Eagle Supermarket,41.1842135,-80.75960090000001,"48 Vienna Ave, Niles",34.27
89,89,ALDI,40.8272405,-81.9076907,"2249 Akron Rd, Wooster",70.49
90,90,ALDI,40.7944304,-81.4467118,"5117 W Tuscarawas St W, Canton",60.77
91,91,ALDI,41.0480346,-81.7275543,"174 Park Center Dr, Wadsworth",52.73
92,92,ALDI,41.1352861,-81.8101564,"3444 Medina Rd, Medina",51.46
93,93,ALDI,41.1326032,-81.63769740000001,"120 S Cleveland Massillon Rd, Fairlawn",45.25
94,94,ALDI,41.23892070000001,-81.8376594,"4221 Center Rd, Brunswick",48.22
95,95,ALDI,41.0562721,-81.5826107,"2100 Romig Rd, Akron",47.68
96,96,ALDI,40.85401160000001,-81.4248166,"4082 Belden Village St NW, Canton",56.51
97,97,ALDI,41.4208561,-81.9026839,"4692 Great Northern Blvd, North Olmsted",45.70
98,98,ALDI,41.0652875,-81.5273946,"772 S Main St, Akron",45.59
99,99,ALDI,41.3727349,-81.82967430000001,"18324 Bagley Rd, Middleburg Heights",43.37
100,100,ALDI,41.4597502,-81.8559176,"21329 Center Ridge Rd, Fairview Park",42.60
101,101,ALDI,41.3924499,-82.0069752,"35111 Center Ridge Rd, North Ridgeville",51.45
102,102,ALDI,41.036091600000006,-81.49050679999999,"1333 S Arlington St, Akron",46.37
103,103,ALDI,41.3116279,-81.83394890000001,"14267 Pearl Rd, Strongsville",45.44
104,104,ALDI,41.1579519,-81.860984,"1180 N Court St, Medina",52.49
105,105,ALDI,41.4617898,-81.95972809999999,"30700 Detroit Rd, Westlake",47.76
106,106,ALDI,41.1069072,-81.467413,"1620 Brittain Rd, Akron",41.51
107,107,ALDI,41.4202558,-81.75938620000001,"5170 Tiedeman Rd, Brooklyn",38.74
108,108,ALDI,41.1591497,-81.401652,"3804 Fishcreek Rd, Stow",36.69
109,109,ALDI,41.877609899999996,-80.75465059999999,"3124 N Ridge Rd E, Ashtabula",23.58
110,110,ALDI,41.4697878,-81.6083969,"10815 Kinsman Rd, Cleveland",30.21
111,111,ALDI,41.5036341,-81.63653029999999,"7500 Euclid Ave, Cleveland",30.85
112,112,ALDI,41.5188465,-81.4944436,"5144 Mayfield Rd, Lyndhurst",23.51
113,113,ALDI,41.3149541,-81.5252616,"371 E Aurora Rd, Macedonia",32.15
114,114,ALDI,41.430628799999994,-81.5267072,"4650 Northfield Rd, North Randall",27.52
115,115,ALDI,41.237382700000005,-81.33867099999999,"9071 OH-14, Streetsboro",30.37
116,116,ALDI,41.641171,-81.4709278,"30960 Lakeshore Blvd, Willowick",21.13
117,117,ALDI,41.608861499999996,-81.52597370000001,"22300 Lakeshore Blvd, Euclid",23.97
118,118,ALDI,41.3560724,-81.3882151,"7050 Aurora Rd, Aurora",25.10
119,119,ALDI,41.6621564,-81.3590263,"7885 Mentor Ave, Mentor",15.53
120,120,ALDI,41.584621999999996,-81.2117422,"302 Center St, Chardon",8.21
121,121,ALDI,41.2097602,-80.73907259999999,"2425 Niles Cortland Rd SE, Warren",33.23
122,122,ALDI,41.275434000000004,-80.775151,"2120 Elm Cir, Cortland",28.37
123,123,ALDI,41.8033946,-81.05492679999999,"6521 N Ridge Rd, Madison",12.32
124,124,ALDI,41.6882588,-81.2883901,"2045 Mentor Ave, Painesville",12.46
125,125,ALDI,41.461844299999996,-81.0843276,"14955 S, Springdale Ave, Middlefield",11.34
