Store Name,Lat,Lng,Address
ALDI,41.1591497,-81.401652,"3804 Fishcreek Rd, Stow"
ALDI,41.877609899999996,-80.75465059999999,"3124 N Ridge Rd E, Ashtabula"
ALDI,41.4697878,-81.6083969,"10815 Kinsman Rd, Cleveland"
ALDI,41.5036341,-81.63653029999999,"7500 Euclid Ave, Cleveland"
ALDI,41.5188465,-81.4944436,"5144 Mayfield Rd, Lyndhurst"
ALDI,41.3149541,-81.5252616,"371 E Aurora Rd, Macedonia"
ALDI,41.430628799999994,-81.5267072,"4650 Northfield Rd, North Randall"
ALDI,41.237382700000005,-81.33867099999999,"9071 OH-14, Streetsboro"
ALDI,41.641171,-81.4709278,"30960 Lakeshore Blvd, Willowick"
ALDI,41.608861499999996,-81.52597370000001,"22300 Lakeshore Blvd, Euclid"
ALDI,41.3560724,-81.3882151,"7050 Aurora Rd, Aurora"
ALDI,41.6621564,-81.3590263,"7885 Mentor Ave, Mentor"
ALDI,41.584621999999996,-81.2117422,"302 Center St, Chardon"
ALDI,41.2097602,-80.73907259999999,"2425 Niles Cortland Rd SE, Warren"
ALDI,41.275434000000004,-80.775151,"2120 Elm Cir, Cortland"
ALDI,41.8033946,-81.05492679999999,"6521 N Ridge Rd, Madison"
ALDI,41.6882588,-81.2883901,"2045 Mentor Ave, Painesville"
ALDI,41.461844299999996,-81.0843276,"14955 S, Springdale Ave, Middlefield"
ALDI,41.5228571,-81.4374651,"1385 Som Center Rd, Mayfield Heights"
ALDI,41.2550913,-80.8582324,"2774 Parkman Rd NW, Warren"
ALDI,41.39000479999999,-81.43570229999999,"6217 Som Center Rd, Solon"
ALDI,40.901098600000005,-81.1417215,"2150 W State St, Alliance"
ALDI,41.1566858,-81.2209904,"1350 E Main St, Ravenna"
ALDI,41.145275,-80.6636955,"3497 Belmont Ave, Youngstown"
ALDI,41.0987061,-80.7722433,"5863 Mahoning Ave, Austintown"
ALDI,41.031319599999996,-80.6352161,"6600 South Ave, Boardman"
ALDI,40.9003341,-80.8248,"2495 E State St, Salem"
Whole Foods Market,41.449988,-81.48507159999998,"50 Wall St, Orange"
Whole Foods Market 365,41.1109081,-81.5711638,"1745 W Market St, Akron"
Whole Foods Market,41.4787471,-81.8396406,"19607 Detroit Rd, Rocky River"
Whole Foods Market,41.5008761,-81.5368584,"13998 Cedar Rd, University Heights"
Whole Foods Market,41.463355,-81.486312,"27249 Chagrin Blvd, Woodmere"
Berry's Natural Food Market,41.101479600000005,-80.73253299999999,"4405 Mahoning Ave, Youngstown"
Marc's Stores,40.8319305,-81.38161159999999,"3014 Cromer Ave NW, Canton"
Marc's Stores,41.399600899999996,-82.111492,"435 Midway Blvd, Elyria"
Marc's Stores,41.298671999999996,-81.836802,"16224 Pearl Rd, Strongsville"
Marc's Stores,41.4170598,-81.91595,"26393 Great Northern Shop Center, North Olmsted"
Marc's,41.46955870000001,-81.9125595,"26400 Detroit Rd, Westlake"
Marc's Stores,41.52108870000001,-81.5171949,"4519 Mayfield Rd, South Euclid"
Marc's Stores,41.457693299999995,-81.85974909999999,"21661 Center Ridge Road Westwood Shopping Plaza, Rocky River"
Marc's Stores,41.398374,-81.595173,"12650 Rockside Rd, Garfield Heights"
Marc's Stores,41.165723,-81.44143299999999,"3732 Darrow Rd, Stow"
Marc's Stores,41.396814,-82.00410500000001,"34800 Center Ridge Rd, North Ridgeville"
Marc's Stores,41.4063737,-81.6934057,"1650 Snow Rd #295, Parma"
Marc's,41.4231914,-81.7393519,"7359 Northcliff Ave, Brooklyn"
Marc's Stores,41.3887631,-81.4354475,"6231 Som Center Rd, Solon"
Marc's Stores,41.150560999999996,-81.510638,"2900 State Rd, Cuyahoga Falls"
